osm_id,building,street,house_number,levels,lat,lon
112044975,office,Таврическая улица,39,3.0,59.94780464705882,30.37926799117647
112044980,apartments,Таврическая улица,27 литБ,5.0,59.945021728,30.37935854
112044983,apartments,Таврическая улица,31-33,6.0,59.94589583333334,30.37841731111111
112044986,yes,Калужский переулок,3,,59.945589554166666,30.379964025000003
112044987,apartments,Кавалергардская улица,18,4.0,59.94515059166667,30.382189683333333
112044989,yes,Таврическая улица,27,4.0,59.945314,30.37866904166667
112044994,apartments,Таврическая улица,29,5.0,59.945605920000006,30.37842927
112044997,yes,Таврическая улица,31-33 литМ,,59.94587174,30.37906676
112044998,yes,Таврическая улица,29 литГ,,59.94550194,30.3787332
112045006,yes,Кавалергардская улица,22,,59.9457754590909,30.38227781363636
152179247,apartments,Тверская улица,1,9.0,59.94635079705883,30.37965396470588
152477272,commercial,Кавалергардская улица,42Я,3.0,59.95067202,30.38329222
159249897,church,Тверская улица,8,,59.94716477333333,30.380736206666665
260497844,residential,Таврическая улица,37,6.0,59.94731801875,30.37887148125
260497846,apartments,Тверская улица,6,7.0,59.947148363636366,30.37967226363636
260497849,residential,Тверская улица,4,5.0,59.947265152,30.379199912
297222684,garages,Unknown,,,59.94991384,30.38424814
346482560,yes,Таврическая улица,31-33 литВ,,59.94603812,30.37958834
423966114,yes,Unknown,,,59.94653636,30.37765942
427989620,yes,Лафонская улица,6 литВ,,59.94766575,30.3868052
427989621,yes,Таврическая улица,39 литБ,3.0,59.947889700000005,30.378637822222224
438469227,garage,Unknown,,1.0,59.94973611666666,30.38040743333333
518093880,yes,Unknown,,,59.949961810000005,30.38091848
626053765,yes,Unknown,,1.0,59.9500714,30.38259194
669118063,guardhouse,Unknown,,,59.94549966,30.385894380000003
678914843,service,Unknown,,1.0,59.94734184285714,30.38545602857143
